ID_Nasabah,Umur,Jenis_Kelamin,Saldo,Produk,Cabang,Tanggal_Pembukaan
1001,42,Perempuan,2000000,Deposito,Yogyakarta,2022-09-22
1002,53,Laki-laki,3000000,Deposito,Jakarta Pusat,2022-10-07
1003,36,Laki-laki,7000000,Tabungan,Jakarta Pusat,2021-06-16
1004,25,Laki-laki,12000000,Tabungan,Surabaya,2022-05-22
1005,57,Laki-laki,27000000,Deposito,Jakarta Pusat,2021-03-28
1006,18,Perempuan,22000000,Deposito,Yogyakarta,2022-11-07
1007,33,Laki-laki,21000000,Deposito,Bandung,2022-04-28
1008,44,Perempuan,1000000,Tabungan,Jakarta Pusat,2020-01-05
1009,31,Perempuan,18000000,Deposito,Surabaya,2020-03-27
1010,53,Laki-laki,10000000,Tabungan,Bandung,2021-05-05
1011,28,Perempuan,26000000,Tabungan,Jakarta Pusat,2020-06-22
1012,30,Laki-laki,16000000,Deposito,Surabaya,2021-02-28
1013,20,Laki-laki,28000000,Deposito,Yogyakarta,2020-11-15
1014,52,Perempuan,27000000,Deposito,Bandung,2021-04-23
1015,49,Laki-laki,22000000,Tabungan,Surabaya,2022-04-22
1016,42,Perempuan,30000000,Tabungan,Yogyakarta,2021-01-22
1017,44,Laki-laki,4000000,Deposito,Bali,2020-03-03
1018,19,Laki-laki,28000000,Tabungan,Bali,2022-07-18
1019,33,Laki-laki,10000000,Deposito,Bandung,2020-04-04
1020,31,Perempuan,10000000,Deposito,Jakarta Pusat,2021-01-14
1021,31,Perempuan,4000000,Deposito,Yogyakarta,2020-11-15
1022,37,Perempuan,4000000,Tabungan,Bali,2020-05-19
1023,48,Perempuan,23000000,Deposito,Bandung,2020-05-03
1024,24,Perempuan,15000000,Deposito,Bandung,2020-12-10
1025,41,Laki-laki,24000000,Tabungan,Bali,2021-09-01
1026,45,Laki-laki,20000000,Deposito,Yogyakarta,2021-03-28
1027,40,Laki-laki,2000000,Deposito,Yogyakarta,2020-05-28
1028,49,Laki-laki,5000000,Deposito,Surabaya,2021-10-16
1029,54,Perempuan,8000000,Deposito,Bali,2021-05-06
1030,32,Perempuan,12000000,Tabungan,Bandung,2020-08-09
1031,39,Perempuan,22000000,Tabungan,Surabaya,2021-12-05
