ID_Nasabah,Bulan,Tahun,Saldo
1001,September,2022,2127758
1001,October,2022,2120832
1001,November,2022,2219970
1001,December,2022,2200556
1002,October,2022,3045682
1002,November,2022,3029457
1002,December,2022,3000000
1003,June,2021,7082968
1003,July,2021,7633942
1003,August,2021,7644555
1003,September,2021,7420159
1003,October,2021,7526883
1003,November,2021,7670579
1003,December,2021,7454344
1003,January,2022,0
1003,February,2022,0
1003,March,2022,0
1003,April,2022,0
1003,May,2022,0
1003,June,2022,0
1003,July,2022,0
1003,August,2022,0
1003,September,2022,0
1003,October,2022,0
1003,November,2022,0
1003,December,2022,0
1004,May,2022,12776148
1004,June,2022,12342576
1004,July,2022,12484604
1004,August,2022,12000000
1004,September,2022,13053797
1004,October,2022,12345871
1004,November,2022,12606583
1004,December,2022,12822050
1005,March,2021,28339570
1005,April,2021,30760157
1005,May,2021,29093048
1005,June,2021,31111466
1005,July,2021,29396530
1005,August,2021,31625655
1005,September,2021,32309284
1005,October,2021,30224169
1005,November,2021,30732569
1005,December,2021,29187752
1005,January,2022,30926563
1005,February,2022,31477658
1005,March,2022,32244973
1005,April,2022,30573962
1005,May,2022,32692089
1005,June,2022,31588526
1005,July,2022,29282764
1005,August,2022,29526837
1005,September,2022,29858661
1005,October,2022,30116091
1005,November,2022,30792761
1005,December,2022,28790840
1006,November,2022,22608046
1006,December,2022,22504914
1007,April,2022,21295479
1007,May,2022,0
1007,June,2022,0
1007,July,2022,0
1007,August,2022,0
1007,September,2022,0
1007,October,2022,0
1007,November,2022,0
1007,December,2022,0
1008,January,2020,1027884
1008,February,2020,1031104
1008,March,2020,1009016
1008,April,2020,1037667
1008,May,2020,1057931
1008,June,2020,1097734
1008,July,2020,1043835
1008,August,2020,1084582
1008,September,2020,1153786
1008,October,2020,1155971
1008,November,2020,1183663
1008,December,2020,1166490
1008,January,2021,1056898
1008,February,2021,1120501
1008,March,2021,1166728
1008,April,2021,1163198
1008,May,2021,1159307
1008,June,2021,1108322
1008,July,2021,1107389
1008,August,2021,1173444
1008,September,2021,1134820
1008,October,2021,1197008
1008,November,2021,1209815
1008,December,2021,1137896
1008,January,2022,1090858
1008,February,2022,1158288
1008,March,2022,1058973
1008,April,2022,1155670
1008,May,2022,1079834
1008,June,2022,1120599
1008,July,2022,1125799
1008,August,2022,1156968
1008,September,2022,1167481
1008,October,2022,1145940
1008,November,2022,1121358
1008,December,2022,1125655
1009,March,2020,18550653
1009,April,2020,19838790
1009,May,2020,19326111
1009,June,2020,19565276
1009,July,2020,19535343
1009,August,2020,19407951
1009,September,2020,19038819
1009,October,2020,18000000
1009,November,2020,18182002
1009,December,2020,18000000
1009,January,2021,0
1009,February,2021,0
1009,March,2021,0
1009,April,2021,0
1009,May,2021,0
1009,June,2021,0
1009,July,2021,0
1009,August,2021,0
1009,September,2021,0
1009,October,2021,0
1009,November,2021,0
1009,December,2021,0
1009,January,2022,0
1009,February,2022,0
1009,March,2022,0
1009,April,2022,0
1009,May,2022,0
1009,June,2022,0
1009,July,2022,0
1009,August,2022,0
1009,September,2022,0
1009,October,2022,0
1009,November,2022,0
1009,December,2022,0
1010,May,2021,10326604
1010,June,2021,11076441
1010,July,2021,11430536
1010,August,2021,11042806
1010,September,2021,10604011
1010,October,2021,10307596
1010,November,2021,10377661
1010,December,2021,10559681
1010,January,2022,0
1010,February,2022,0
1010,March,2022,0
1010,April,2022,0
1010,May,2022,0
1010,June,2022,0
1010,July,2022,0
1010,August,2022,0
1010,September,2022,0
1010,October,2022,0
1010,November,2022,0
1010,December,2022,0
1011,June,2020,27120612
1011,July,2020,27356656
1011,August,2020,26364185
1011,September,2020,0
1011,October,2020,0
1011,November,2020,0
1011,December,2020,0
1011,January,2021,0
1011,February,2021,0
1011,March,2021,0
1011,April,2021,0
1011,May,2021,0
1011,June,2021,0
1011,July,2021,0
1011,August,2021,0
1011,September,2021,0
1011,October,2021,0
1011,November,2021,0
1011,December,2021,0
1011,January,2022,0
1011,February,2022,0
1011,March,2022,0
1011,April,2022,0
1011,May,2022,0
1011,June,2022,0
1011,July,2022,0
1011,August,2022,0
1011,September,2022,0
1011,October,2022,0
1011,November,2022,0
1011,December,2022,0
1012,February,2021,17451990
1012,March,2021,17325771
1012,April,2021,17892151
1012,May,2021,17476881
1012,June,2021,17215935
1012,July,2021,17218721
1012,August,2021,16353611
1012,September,2021,17246742
1012,October,2021,17354336
1012,November,2021,16409430
1012,December,2021,16000000
1012,January,2022,0
1012,February,2022,0
1012,March,2022,0
1012,April,2022,0
1012,May,2022,0
1012,June,2022,0
1012,July,2022,0
1012,August,2022,0
1012,September,2022,0
1012,October,2022,0
1012,November,2022,0
1012,December,2022,0
1013,November,2020,29922942
1013,December,2020,29570073
1013,January,2021,0
1013,February,2021,0
1013,March,2021,0
1013,April,2021,0
1013,May,2021,0
1013,June,2021,0
1013,July,2021,0
1013,August,2021,0
1013,September,2021,0
1013,October,2021,0
1013,November,2021,0
1013,December,2021,0
1013,January,2022,0
1013,February,2022,0
1013,March,2022,0
1013,April,2022,0
1013,May,2022,0
1013,June,2022,0
1013,July,2022,0
1013,August,2022,0
1013,September,2022,0
1013,October,2022,0
1013,November,2022,0
1013,December,2022,0
1014,April,2021,27329087
1014,May,2021,0
1014,June,2021,0
1014,July,2021,0
1014,August,2021,0
1014,September,2021,0
1014,October,2021,0
1014,November,2021,0
1014,December,2021,0
1014,January,2022,0
1014,February,2022,0
1014,March,2022,0
1014,April,2022,0
1014,May,2022,0
1014,June,2022,0
1014,July,2022,0
1014,August,2022,0
1014,September,2022,0
1014,October,2022,0
1014,November,2022,0
1014,December,2022,0
1015,April,2022,23348721
1015,May,2022,22875219
1015,June,2022,23087628
1015,July,2022,24083759
1015,August,2022,22303808
1015,September,2022,22611103
1015,October,2022,22151166
1015,November,2022,22719783
1015,December,2022,22677079
1016,January,2021,32487306
1016,February,2021,31000529
1016,March,2021,30000000
1016,April,2021,30359665
1016,May,2021,31166828
1016,June,2021,32338992
1016,July,2021,33575350
1016,August,2021,33184470
1016,September,2021,33259335
1016,October,2021,32954270
1016,November,2021,34764065
1016,December,2021,32286753
1016,January,2022,32054152
1016,February,2022,31866588
1016,March,2022,32327038
1016,April,2022,31798932
1016,May,2022,31525051
1016,June,2022,30000000
1016,July,2022,31233392
1016,August,2022,31036054
1016,September,2022,0
1016,October,2022,0
1016,November,2022,0
1016,December,2022,0
1017,March,2020,0
1017,April,2020,0
1017,May,2020,0
1017,June,2020,0
1017,July,2020,0
1017,August,2020,0
1017,September,2020,0
1017,October,2020,0
1017,November,2020,0
1017,December,2020,0
1017,January,2021,0
1017,February,2021,0
1017,March,2021,0
1017,April,2021,0
1017,May,2021,0
1017,June,2021,0
1017,July,2021,0
1017,August,2021,0
1017,September,2021,0
1017,October,2021,0
1017,November,2021,0
1017,December,2021,0
1017,January,2022,0
1017,February,2022,0
1017,March,2022,0
1017,April,2022,0
1017,May,2022,0
1017,June,2022,0
1017,July,2022,0
1017,August,2022,0
1017,September,2022,0
1017,October,2022,0
1017,November,2022,0
1017,December,2022,0
1018,July,2022,29821536
1018,August,2022,30069799
1018,September,2022,28469465
1018,October,2022,28000000
1018,November,2022,28455527
1018,December,2022,28000000
1019,April,2020,10782061
1019,May,2020,0
1019,June,2020,0
1019,July,2020,0
1019,August,2020,0
1019,September,2020,0
1019,October,2020,0
1019,November,2020,0
1019,December,2020,0
1019,January,2021,0
1019,February,2021,0
1019,March,2021,0
1019,April,2021,0
1019,May,2021,0
1019,June,2021,0
1019,July,2021,0
1019,August,2021,0
1019,September,2021,0
1019,October,2021,0
1019,November,2021,0
1019,December,2021,0
1019,January,2022,0
1019,February,2022,0
1019,March,2022,0
1019,April,2022,0
1019,May,2022,0
1019,June,2022,0
1019,July,2022,0
1019,August,2022,0
1019,September,2022,0
1019,October,2022,0
1019,November,2022,0
1019,December,2022,0
1020,January,2021,10276212
1020,February,2021,10948590
1020,March,2021,10000000
1020,April,2021,10572060
1020,May,2021,0
1020,June,2021,0
1020,July,2021,0
1020,August,2021,0
1020,September,2021,0
1020,October,2021,0
1020,November,2021,0
1020,December,2021,0
1020,January,2022,0
1020,February,2022,0
1020,March,2022,0
1020,April,2022,0
1020,May,2022,0
1020,June,2022,0
1020,July,2022,0
1020,August,2022,0
1020,September,2022,0
1020,October,2022,0
1020,November,2022,0
1020,December,2022,0
1021,November,2020,4330460
1021,December,2020,4309471
1021,January,2021,4309398
1021,February,2021,4648626
1021,March,2021,4419287
1021,April,2021,4599395
1021,May,2021,4564400
1021,June,2021,4779716
1021,July,2021,4890146
1021,August,2021,4552583
1021,September,2021,4793560
1021,October,2021,4422941
1021,November,2021,4477344
1021,December,2021,4391536
1021,January,2022,4290359
1021,February,2022,4506191
1021,March,2022,4296479
1021,April,2022,4636146
1021,May,2022,4533030
1021,June,2022,4745633
1021,July,2022,4471980
1021,August,2022,4945400
1021,September,2022,4747816
1021,October,2022,4968626
1021,November,2022,5102791
1021,December,2022,4816882
1022,May,2020,4282106
1022,June,2020,4062752
1022,July,2020,4098742
1022,August,2020,4209406
1022,September,2020,4179223
1022,October,2020,4256837
1022,November,2020,4283283
1022,December,2020,4104937
1022,January,2021,4132756
1022,February,2021,4234576
1022,March,2021,0
1022,April,2021,0
1022,May,2021,0
1022,June,2021,0
1022,July,2021,0
1022,August,2021,0
1022,September,2021,0
1022,October,2021,0
1022,November,2021,0
1022,December,2021,0
1022,January,2022,0
